Letter of Lettercombinatie,Woning ,Kantoor,Bijeenkomst zonder kinderdagverblijf,Bijeenkomst met kinderdagverblijf,Onderwijs,Zorg zonder bed,Zorg met bed,Winkel,Sport,Logies,Cel
A+++++,N/A,"Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00","Kleiner of gelijk aan 0,00"
A++++,"Kleiner of gelijk aan 0,00","0,01 t/m 40,00","0,01 t/m 50,00","0,01 t/m 55,00","0,01 t/m 50,00","0,01 t/m 45,00","0,01 t/m 90,00","0,01 t/m 60,00","0,01 t/m 35,00","0,01 t/m 50,00","0,01 t/m 60,00"
A+++,"0,01 t/m 50,00","40,01 t/m 80,00","50,01 t/m 100,00","55,01 t/m 110,00","50,01 t/m 100,00","45,01 t/m 90,00","90,01 t/m 180,00","60,01 t/m 120,00","35,01 t/m 70,00","50,01 t/m 100,00","60,01 t/m 120,00"
A++,"50,01 t/m 75,00","80,01 t/m 120,00","100,01 t/m 150,00","110,01 t/m 165,00","100,01 t/m 150,00","90,01 t/m 135,00","180,01 t/m 270,00","120,01 t/m 180,00","70,01 t/m 105,00","100,01 t/m 150,00","120,01 t/m 180,00"
A+,"75,01 t/m 105,00","120,01 t/m 160,00","150,01 t/m 200,00","165,01 t/m 220,00","150,01 t/m 200,00","135,01 t/m 180,00","270,01 t/m 360,00","180,01 t/m 240,00","105,01 t/m 140,00","150,01 t/m 200,00","180,01 t/m 240,00"
A,"105,01 t/m 160,00","160,01 t/m 180,00","200,01 t/m 230,00","220,01 t/m 265,00","200,01 t/m 235,00","180,01 t/m 210,00","360,01 t/m 430,00","240,01 t/m 285,00","140,01 t/m 155,00","200,01 t/m 230,00","240,01 t/m 300,00"
B,"160,01 t/m 190,00","180,01 t/m 200,00","230,01 t/m 255,00","265,01 t/m 290,00","235,01 t/m 260,00","210,01 t/m 230,00","430,01 t/m 470,00","285,01 t/m 315,00","155,01 t/m 170,00","230,01 t/m 255,00","300,01 t/m 330,00"
C,"190,01 t/m 250,00","200,01 t/m 225,00","255,01 t/m 285,00","290,01 t/m 330,00","260,01 t/m 295,00","230,01 t/m 260,00","470,01 t/m 530,00","315,01 t/m 355,00","170,01 t/m 195,00","255,01 t/m 285,00","330,01 t/m 370,00"
D,"250,01 t/m 290,00","225,01 t/m 250,00","285,01 t/m 320,00","330,01 t/m 365,00","295,01 t/m 330,00","260,01 t/m 295,00","530,01 t/m 595,00","355,01 t/m 395,00","195,01 t/m 215,00","285,01 t/m 320,00","370,01 t/m 415,00"
E,"290,01 t/m 335,00","250,01 t/m 275,00","320,01 t/m 355,00","365,01 t/m 405,00","330,01 t/m 360,00","295,01 t/m 325,00","595,01 t/m 655,00","395,01 t/m 435,00","215,01 t/m 240,00","320,01 t/m 355,00","415,01 t/m 455,00"
F,"335,01 t/m 380,00","275,01 t/m 300,00","355,01 t/m 385,00","405,01 t/m 445,00","360,01 t/m 395,00","325,01 t/m 355,00","655,01 t/m 715,00","435,01 t/m 475,00","240,01 t/m 260,00","355,01 t/m 385,00","455,01 t/m 500,00"
G,"Groter dan 380,00","Groter dan 300,00","Groter dan 385,00","Groter dan 445,00","Groter dan 395,00","Groter dan 355,00","Groter dan 715,00","Groter dan 475,00","Groter dan 260,00","Groter dan 385,00","Groter dan 500,00"